Фраза;2025-01-01;2025-02-01;2025-03-01;2025-04-01;2025-05-01;2025-06-01;2025-07-01;2025-08-01;2025-09-01;2025-10-01;2025-11-01;2025-12-01;2026-01-01;2026-02-01;2026-03-01;2026-04-01
"устройство циркуляционного насоса для отопления";316;294;211;159;74;118;105;132;258;326;320;332;385;273;134;108
"насос циркуляционный для отопления для чего нужен";168;156;82;73;56;47;51;75;146;218;156;241;216;94;77;62
"как работает циркуляционный насос для отопления";171;146;107;73;50;63;37;79;217;321;269;268;216;128;86;72
"для чего нужен насос в системе отопления";121;110;0;63;52;58;46;0;161;180;164;213;179;95;89;72
"насос циркуляционный назначение";95;142;126;138;103;116;74;81;154;123;180;154;85;137;123;100
"как работает водяной насос отопления";75;82;35;31;12;14;16;37;123;112;83;159;165;57;51;22
"насос циркуляционный для отопления принцип работы";85;82;31;42;33;22;32;52;96;91;101;160;113;102;47;35
"принцип работы насоса в отоплении";91;124;73;47;46;51;39;57;110;163;147;187;158;74;70;55
"функции циркуляционного насоса";92;76;68;50;50;74;35;35;89;120;147;105;103;87;58;69
"как устроен насос для отопления";94;61;35;44;24;26;26;26;59;71;82;90;88;93;62;39
"циркуляционный насос из чего состоит";86;84;47;49;54;47;26;25;51;104;101;106;88;81;59;57
"циркуляционный насос как устроен";103;80;83;48;59;49;41;51;72;126;126;149;117;82;59;69
"для чего нужен циркуляционный насос в системе отопления";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"насос циркуляционный в разрезе";72;63;50;41;24;14;26;29;50;85;95;97;93;46;24;49
"циркуляционный насос принцип работы и устройство";55;42;30;23;28;20;26;39;56;60;62;75;59;61;43;49
"насос циркуляционный принцип действия";62;79;59;43;50;64;30;56;69;68;50;74;60;44;33;49
"насос циркуляционный для воды как работает";47;49;30;56;66;55;48;45;55;68;63;53;43;59;42;42
"принцип работы циркуляционного насоса в системе отопления";50;73;56;28;19;21;20;29;63;86;74;93;64;40;45;31
"устройство циркуляционного насоса с мокрым ротором для отопления";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"циркулярный насос для системы отопления как работает";27;18;9;8;23;16;7;12;63;37;55;51;61;51;12;19
"циркулярный насос это";67;54;29;31;39;27;38;27;69;72;64;93;55;62;68;69
"насос циркуляционный для отопления принцип работы и устройство";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"как работает циркуляционный насос в системе отопления в частном доме";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"обслуживание циркуляционного насоса для отопления";47;42;10;20;9;7;11;19;47;93;45;53;30;34;19;0
"насос циркуляционный для чего предназначен";51;62;51;52;52;53;35;81;51;96;28;42;45;19;18;32
"устройство циркуляционного насоса газового котла";26;14;17;19;11;14;15;7;10;13;13;36;34;31;43;17
"циркулярный насос для чего нужен";15;28;17;17;9;17;15;17;27;32;20;30;16;28;6;12
"из чего состоит циркуляционный насос для отопления";28;25;9;8;13;8;0;12;15;42;22;28;22;14;11;10
"как снять циркуляционный насос с системы отопления";0;26;7;8;20;5;13;14;24;18;22;25;12;20;13;9
"циркуляционный насос для отопления в разрезе";16;22;9;0;0;0;0;0;14;13;25;25;33;12;0;0
"принцип работы рециркуляционного насоса";18;20;16;20;13;14;21;14;16;30;10;35;23;17;32;10
"насос для котла отопления частного дома как работает";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"прибор для определения работы циркуляционного насоса";12;9;0;0;0;5;0;0;0;6;7;8;5;11;0;0
"циркуляционный насос устройство и принцип действия";6;16;10;0;0;8;8;9;0;14;12;17;12;8;7;19
"насос цо что это";9;0;0;0;0;0;0;0;9;14;10;10;0;0;5;0
"центробежный насос для отопления котельной устройство";23;27;10;7;7;5;0;4;0;6;0;0;0;0;0;0
"рециркуляционный насос для отопления назначение";15;10;0;7;5;0;0;0;6;0;5;9;3;0;0;0
"погодозависимая автоматика для отопления";163;221;281;187;155;97;90;103;181;271;195;192;143;268;211;174
"погодозависимая автоматика для систем отопления";159;210;272;181;142;87;89;97;171;253;191;179;132;241;204;168
"погодозависимая автоматика для газового котла";109;68;67;36;20;24;17;13;68;73;76;112;93;52;23;36
"погода зависимая автоматика";61;40;39;46;18;19;36;15;41;85;45;56;52;51;65;44
"погодозависимая автоматика для систем отопления многоквартирного дома";26;34;64;47;39;0;13;0;28;61;57;36;23;75;68;58
"погодозависимая автоматика для систем отопления частного дома";16;9;24;17;15;12;4;7;31;15;26;15;14;32;7;7
"емкость системы";11110;12086;15080;14869;13938;12414;9359;7629;13434;19374;17094;20756;13072;12937;17029;15358
"расчет буферной емкости";308;216;193;177;110;159;88;57;315;1040;560;388;287;169;188;138
"формула буферной емкости";387;173;302;178;111;200;28;24;422;1445;1030;541;422;122;162;142
"как рассчитать буферную емкость";60;76;78;30;42;59;25;42;216;373;121;114;46;32;42;46
"факторы влияющие на буферную емкость";100;51;96;53;97;94;0;0;165;423;152;67;96;34;37;26
"в чем измеряется буферная емкость";30;17;30;23;12;23;0;0;46;112;51;39;21;16;20;13
"буферный резервуар это";18;18;9;9;18;18;30;19;15;14;4;20;17;5;12;11
"расчет буферной емкости для твердотопливного котла";9;5;0;8;0;0;12;5;7;7;4;7;3;0;6;0
"тепловая энергия";154218;161280;138599;132239;120891;97416;100272;97457;142093;196174;219942;360455;156003;165540;149789;142381
"тепловая мощность";27127;30489;30422;33607;29606;19789;15687;15406;23245;56644;37764;55942;31112;36224;34696;38456
теплоэнергии;19179;21093;17959;15929;13438;13775;15103;14241;17111;20076;19550;20505;17427;20058;19939;17036
теплоэнергия;19179;21093;17959;15929;13438;13775;15103;14241;17111;20076;19550;20505;17427;20058;19939;17036
"энергия отопление";9297;10403;9999;11671;10174;5912;5980;5421;13611;16389;15132;19111;10158;12211;12059;15334
"расход тепла";9486;9775;8583;9012;7962;6784;5843;6357;8220;10350;10203;10579;8973;8984;8630;11312
"затраты на отопление";3779;4561;6124;9338;4057;1405;745;683;1701;3786;5606;13657;4605;5431;5105;9676
"мощность системы отопления";2809;2877;3588;6205;6874;1982;995;1505;8751;10121;10259;10644;7016;8128;8893;12438
"теплота и мощность";3632;4901;6998;18731;7244;990;482;346;2001;4968;5982;11795;4653;5784;9325;29205
"затраты на отопление жилых и производственных помещений в холодное время";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"теплая энергия";3244;3171;3622;5195;3785;1489;1454;1548;11878;12625;7997;11229;5212;5030;5483;6130
"расчет тепловой энергии";4764;5891;4987;4571;3638;3718;5296;5788;5274;6225;5483;7178;3750;4825;4895;4693
"формула отопления";3311;4305;3706;2958;2263;2048;1958;1602;1979;3351;3546;3783;3031;4921;4747;3462
"мощность и количество теплоты";1870;2665;4279;10072;3765;496;124;104;1128;3213;3013;6502;2818;3257;6700;18651
"мощность тепловой энергии";2467;2373;2351;2109;2072;1618;1688;1525;2576;3058;4576;7614;2661;2718;3391;3169
"тепловая мощность вт";1916;1873;2600;3176;3263;1087;760;626;1123;3363;2866;6166;2538;2809;2492;3679
